"material","erected","river","length","count","id","x","y"
"wood","crafts","Allegheny","long",0,1,"material","wood"
"steel","crafts","Allegheny","long",0,2,"material","steel"
"iron","crafts","Allegheny","long",0,3,"material","iron"
"wood","emerging","Allegheny","long",0,4,"material","wood"
"steel","emerging","Allegheny","long",0,5,"material","steel"
"iron","emerging","Allegheny","long",0,6,"material","iron"
"wood","mature","Allegheny","long",0,7,"material","wood"
"steel","mature","Allegheny","long",7,8,"material","steel"
"iron","mature","Allegheny","long",0,9,"material","iron"
"wood","modern","Allegheny","long",0,10,"material","wood"
"steel","modern","Allegheny","long",1,11,"material","steel"
"iron","modern","Allegheny","long",0,12,"material","iron"
"wood","crafts","Monongahela","long",0,13,"material","wood"
"steel","crafts","Monongahela","long",0,14,"material","steel"
"iron","crafts","Monongahela","long",0,15,"material","iron"
"wood","emerging","Monongahela","long",0,16,"material","wood"
"steel","emerging","Monongahela","long",0,17,"material","steel"
"iron","emerging","Monongahela","long",0,18,"material","iron"
"wood","mature","Monongahela","long",0,19,"material","wood"
"steel","mature","Monongahela","long",7,20,"material","steel"
"iron","mature","Monongahela","long",0,21,"material","iron"
"wood","modern","Monongahela","long",0,22,"material","wood"
"steel","modern","Monongahela","long",2,23,"material","steel"
"iron","modern","Monongahela","long",0,24,"material","iron"
"wood","crafts","Ohio","long",0,25,"material","wood"
"steel","crafts","Ohio","long",0,26,"material","steel"
"iron","crafts","Ohio","long",0,27,"material","iron"
"wood","emerging","Ohio","long",0,28,"material","wood"
"steel","emerging","Ohio","long",1,29,"material","steel"
"iron","emerging","Ohio","long",0,30,"material","iron"
"wood","mature","Ohio","long",0,31,"material","wood"
"steel","mature","Ohio","long",1,32,"material","steel"
"iron","mature","Ohio","long",0,33,"material","iron"
"wood","modern","Ohio","long",0,34,"material","wood"
"steel","modern","Ohio","long",2,35,"material","steel"
"iron","modern","Ohio","long",0,36,"material","iron"
"wood","crafts","Allegheny","medium",4,37,"material","wood"
"steel","crafts","Allegheny","medium",0,38,"material","steel"
"iron","crafts","Allegheny","medium",3,39,"material","iron"
"wood","emerging","Allegheny","medium",2,40,"material","wood"
"steel","emerging","Allegheny","medium",1,41,"material","steel"
"iron","emerging","Allegheny","medium",0,42,"material","iron"
"wood","mature","Allegheny","medium",1,43,"material","wood"
"steel","mature","Allegheny","medium",7,44,"material","steel"
"iron","mature","Allegheny","medium",0,45,"material","iron"
"wood","modern","Allegheny","medium",0,46,"material","wood"
"steel","modern","Allegheny","medium",2,47,"material","steel"
"iron","modern","Allegheny","medium",0,48,"material","iron"
"wood","crafts","Monongahela","medium",1,49,"material","wood"
"steel","crafts","Monongahela","medium",0,50,"material","steel"
"iron","crafts","Monongahela","medium",2,51,"material","iron"
"wood","emerging","Monongahela","medium",0,52,"material","wood"
"steel","emerging","Monongahela","medium",4,53,"material","steel"
"iron","emerging","Monongahela","medium",1,54,"material","iron"
"wood","mature","Monongahela","medium",0,55,"material","wood"
"steel","mature","Monongahela","medium",10,56,"material","steel"
"iron","mature","Monongahela","medium",0,57,"material","iron"
"wood","modern","Monongahela","medium",0,58,"material","wood"
"steel","modern","Monongahela","medium",3,59,"material","steel"
"iron","modern","Monongahela","medium",0,60,"material","iron"
"wood","crafts","Ohio","medium",0,61,"material","wood"
"steel","crafts","Ohio","medium",0,62,"material","steel"
"iron","crafts","Ohio","medium",0,63,"material","iron"
"wood","emerging","Ohio","medium",0,64,"material","wood"
"steel","emerging","Ohio","medium",0,65,"material","steel"
"iron","emerging","Ohio","medium",0,66,"material","iron"
"wood","mature","Ohio","medium",0,67,"material","wood"
"steel","mature","Ohio","medium",5,68,"material","steel"
"iron","mature","Ohio","medium",0,69,"material","iron"
"wood","modern","Ohio","medium",0,70,"material","wood"
"steel","modern","Ohio","medium",1,71,"material","steel"
"iron","modern","Ohio","medium",0,72,"material","iron"
"wood","crafts","Allegheny","short",1,73,"material","wood"
"steel","crafts","Allegheny","short",0,74,"material","steel"
"iron","crafts","Allegheny","short",0,75,"material","iron"
"wood","emerging","Allegheny","short",0,76,"material","wood"
"steel","emerging","Allegheny","short",0,77,"material","steel"
"iron","emerging","Allegheny","short",0,78,"material","iron"
"wood","mature","Allegheny","short",0,79,"material","wood"
"steel","mature","Allegheny","short",5,80,"material","steel"
"iron","mature","Allegheny","short",0,81,"material","iron"
"wood","modern","Allegheny","short",0,82,"material","wood"
"steel","modern","Allegheny","short",3,83,"material","steel"
"iron","modern","Allegheny","short",0,84,"material","iron"
"wood","crafts","Monongahela","short",0,85,"material","wood"
"steel","crafts","Monongahela","short",0,86,"material","steel"
"iron","crafts","Monongahela","short",0,87,"material","iron"
"wood","emerging","Monongahela","short",0,88,"material","wood"
"steel","emerging","Monongahela","short",0,89,"material","steel"
"iron","emerging","Monongahela","short",0,90,"material","iron"
"wood","mature","Monongahela","short",0,91,"material","wood"
"steel","mature","Monongahela","short",0,92,"material","steel"
"iron","mature","Monongahela","short",0,93,"material","iron"
"wood","modern","Monongahela","short",0,94,"material","wood"
"steel","modern","Monongahela","short",2,95,"material","steel"
"iron","modern","Monongahela","short",0,96,"material","iron"
"wood","crafts","Ohio","short",0,97,"material","wood"
"steel","crafts","Ohio","short",0,98,"material","steel"
"iron","crafts","Ohio","short",0,99,"material","iron"
"wood","emerging","Ohio","short",0,100,"material","wood"
"steel","emerging","Ohio","short",0,101,"material","steel"
"iron","emerging","Ohio","short",0,102,"material","iron"
"wood","mature","Ohio","short",0,103,"material","wood"
"steel","mature","Ohio","short",0,104,"material","steel"
"iron","mature","Ohio","short",0,105,"material","iron"
"wood","modern","Ohio","short",0,106,"material","wood"
"steel","modern","Ohio","short",1,107,"material","steel"
"iron","modern","Ohio","short",0,108,"material","iron"
"wood","crafts","Allegheny","long",0,1,"erected","crafts"
"steel","crafts","Allegheny","long",0,2,"erected","crafts"
"iron","crafts","Allegheny","long",0,3,"erected","crafts"
"wood","emerging","Allegheny","long",0,4,"erected","emerging"
"steel","emerging","Allegheny","long",0,5,"erected","emerging"
"iron","emerging","Allegheny","long",0,6,"erected","emerging"
"wood","mature","Allegheny","long",0,7,"erected","mature"
"steel","mature","Allegheny","long",7,8,"erected","mature"
"iron","mature","Allegheny","long",0,9,"erected","mature"
"wood","modern","Allegheny","long",0,10,"erected","modern"
"steel","modern","Allegheny","long",1,11,"erected","modern"
"iron","modern","Allegheny","long",0,12,"erected","modern"
"wood","crafts","Monongahela","long",0,13,"erected","crafts"
"steel","crafts","Monongahela","long",0,14,"erected","crafts"
"iron","crafts","Monongahela","long",0,15,"erected","crafts"
"wood","emerging","Monongahela","long",0,16,"erected","emerging"
"steel","emerging","Monongahela","long",0,17,"erected","emerging"
"iron","emerging","Monongahela","long",0,18,"erected","emerging"
"wood","mature","Monongahela","long",0,19,"erected","mature"
"steel","mature","Monongahela","long",7,20,"erected","mature"
"iron","mature","Monongahela","long",0,21,"erected","mature"
"wood","modern","Monongahela","long",0,22,"erected","modern"
"steel","modern","Monongahela","long",2,23,"erected","modern"
"iron","modern","Monongahela","long",0,24,"erected","modern"
"wood","crafts","Ohio","long",0,25,"erected","crafts"
"steel","crafts","Ohio","long",0,26,"erected","crafts"
"iron","crafts","Ohio","long",0,27,"erected","crafts"
"wood","emerging","Ohio","long",0,28,"erected","emerging"
"steel","emerging","Ohio","long",1,29,"erected","emerging"
"iron","emerging","Ohio","long",0,30,"erected","emerging"
"wood","mature","Ohio","long",0,31,"erected","mature"
"steel","mature","Ohio","long",1,32,"erected","mature"
"iron","mature","Ohio","long",0,33,"erected","mature"
"wood","modern","Ohio","long",0,34,"erected","modern"
"steel","modern","Ohio","long",2,35,"erected","modern"
"iron","modern","Ohio","long",0,36,"erected","modern"
"wood","crafts","Allegheny","medium",4,37,"erected","crafts"
"steel","crafts","Allegheny","medium",0,38,"erected","crafts"
"iron","crafts","Allegheny","medium",3,39,"erected","crafts"
"wood","emerging","Allegheny","medium",2,40,"erected","emerging"
"steel","emerging","Allegheny","medium",1,41,"erected","emerging"
"iron","emerging","Allegheny","medium",0,42,"erected","emerging"
"wood","mature","Allegheny","medium",1,43,"erected","mature"
"steel","mature","Allegheny","medium",7,44,"erected","mature"
"iron","mature","Allegheny","medium",0,45,"erected","mature"
"wood","modern","Allegheny","medium",0,46,"erected","modern"
"steel","modern","Allegheny","medium",2,47,"erected","modern"
"iron","modern","Allegheny","medium",0,48,"erected","modern"
"wood","crafts","Monongahela","medium",1,49,"erected","crafts"
"steel","crafts","Monongahela","medium",0,50,"erected","crafts"
"iron","crafts","Monongahela","medium",2,51,"erected","crafts"
"wood","emerging","Monongahela","medium",0,52,"erected","emerging"
"steel","emerging","Monongahela","medium",4,53,"erected","emerging"
"iron","emerging","Monongahela","medium",1,54,"erected","emerging"
"wood","mature","Monongahela","medium",0,55,"erected","mature"
"steel","mature","Monongahela","medium",10,56,"erected","mature"
"iron","mature","Monongahela","medium",0,57,"erected","mature"
"wood","modern","Monongahela","medium",0,58,"erected","modern"
"steel","modern","Monongahela","medium",3,59,"erected","modern"
"iron","modern","Monongahela","medium",0,60,"erected","modern"
"wood","crafts","Ohio","medium",0,61,"erected","crafts"
"steel","crafts","Ohio","medium",0,62,"erected","crafts"
"iron","crafts","Ohio","medium",0,63,"erected","crafts"
"wood","emerging","Ohio","medium",0,64,"erected","emerging"
"steel","emerging","Ohio","medium",0,65,"erected","emerging"
"iron","emerging","Ohio","medium",0,66,"erected","emerging"
"wood","mature","Ohio","medium",0,67,"erected","mature"
"steel","mature","Ohio","medium",5,68,"erected","mature"
"iron","mature","Ohio","medium",0,69,"erected","mature"
"wood","modern","Ohio","medium",0,70,"erected","modern"
"steel","modern","Ohio","medium",1,71,"erected","modern"
"iron","modern","Ohio","medium",0,72,"erected","modern"
"wood","crafts","Allegheny","short",1,73,"erected","crafts"
"steel","crafts","Allegheny","short",0,74,"erected","crafts"
"iron","crafts","Allegheny","short",0,75,"erected","crafts"
"wood","emerging","Allegheny","short",0,76,"erected","emerging"
"steel","emerging","Allegheny","short",0,77,"erected","emerging"
"iron","emerging","Allegheny","short",0,78,"erected","emerging"
"wood","mature","Allegheny","short",0,79,"erected","mature"
"steel","mature","Allegheny","short",5,80,"erected","mature"
"iron","mature","Allegheny","short",0,81,"erected","mature"
"wood","modern","Allegheny","short",0,82,"erected","modern"
"steel","modern","Allegheny","short",3,83,"erected","modern"
"iron","modern","Allegheny","short",0,84,"erected","modern"
"wood","crafts","Monongahela","short",0,85,"erected","crafts"
"steel","crafts","Monongahela","short",0,86,"erected","crafts"
"iron","crafts","Monongahela","short",0,87,"erected","crafts"
"wood","emerging","Monongahela","short",0,88,"erected","emerging"
"steel","emerging","Monongahela","short",0,89,"erected","emerging"
"iron","emerging","Monongahela","short",0,90,"erected","emerging"
"wood","mature","Monongahela","short",0,91,"erected","mature"
"steel","mature","Monongahela","short",0,92,"erected","mature"
"iron","mature","Monongahela","short",0,93,"erected","mature"
"wood","modern","Monongahela","short",0,94,"erected","modern"
"steel","modern","Monongahela","short",2,95,"erected","modern"
"iron","modern","Monongahela","short",0,96,"erected","modern"
"wood","crafts","Ohio","short",0,97,"erected","crafts"
"steel","crafts","Ohio","short",0,98,"erected","crafts"
"iron","crafts","Ohio","short",0,99,"erected","crafts"
"wood","emerging","Ohio","short",0,100,"erected","emerging"
"steel","emerging","Ohio","short",0,101,"erected","emerging"
"iron","emerging","Ohio","short",0,102,"erected","emerging"
"wood","mature","Ohio","short",0,103,"erected","mature"
"steel","mature","Ohio","short",0,104,"erected","mature"
"iron","mature","Ohio","short",0,105,"erected","mature"
"wood","modern","Ohio","short",0,106,"erected","modern"
"steel","modern","Ohio","short",1,107,"erected","modern"
"iron","modern","Ohio","short",0,108,"erected","modern"
"wood","crafts","Allegheny","long",0,1,"river","Allegheny"
"steel","crafts","Allegheny","long",0,2,"river","Allegheny"
"iron","crafts","Allegheny","long",0,3,"river","Allegheny"
"wood","emerging","Allegheny","long",0,4,"river","Allegheny"
"steel","emerging","Allegheny","long",0,5,"river","Allegheny"
"iron","emerging","Allegheny","long",0,6,"river","Allegheny"
"wood","mature","Allegheny","long",0,7,"river","Allegheny"
"steel","mature","Allegheny","long",7,8,"river","Allegheny"
"iron","mature","Allegheny","long",0,9,"river","Allegheny"
"wood","modern","Allegheny","long",0,10,"river","Allegheny"
"steel","modern","Allegheny","long",1,11,"river","Allegheny"
"iron","modern","Allegheny","long",0,12,"river","Allegheny"
"wood","crafts","Monongahela","long",0,13,"river","Monongahela"
"steel","crafts","Monongahela","long",0,14,"river","Monongahela"
"iron","crafts","Monongahela","long",0,15,"river","Monongahela"
"wood","emerging","Monongahela","long",0,16,"river","Monongahela"
"steel","emerging","Monongahela","long",0,17,"river","Monongahela"
"iron","emerging","Monongahela","long",0,18,"river","Monongahela"
"wood","mature","Monongahela","long",0,19,"river","Monongahela"
"steel","mature","Monongahela","long",7,20,"river","Monongahela"
"iron","mature","Monongahela","long",0,21,"river","Monongahela"
"wood","modern","Monongahela","long",0,22,"river","Monongahela"
"steel","modern","Monongahela","long",2,23,"river","Monongahela"
"iron","modern","Monongahela","long",0,24,"river","Monongahela"
"wood","crafts","Ohio","long",0,25,"river","Ohio"
"steel","crafts","Ohio","long",0,26,"river","Ohio"
"iron","crafts","Ohio","long",0,27,"river","Ohio"
"wood","emerging","Ohio","long",0,28,"river","Ohio"
"steel","emerging","Ohio","long",1,29,"river","Ohio"
"iron","emerging","Ohio","long",0,30,"river","Ohio"
"wood","mature","Ohio","long",0,31,"river","Ohio"
"steel","mature","Ohio","long",1,32,"river","Ohio"
"iron","mature","Ohio","long",0,33,"river","Ohio"
"wood","modern","Ohio","long",0,34,"river","Ohio"
"steel","modern","Ohio","long",2,35,"river","Ohio"
"iron","modern","Ohio","long",0,36,"river","Ohio"
"wood","crafts","Allegheny","medium",4,37,"river","Allegheny"
"steel","crafts","Allegheny","medium",0,38,"river","Allegheny"
"iron","crafts","Allegheny","medium",3,39,"river","Allegheny"
"wood","emerging","Allegheny","medium",2,40,"river","Allegheny"
"steel","emerging","Allegheny","medium",1,41,"river","Allegheny"
"iron","emerging","Allegheny","medium",0,42,"river","Allegheny"
"wood","mature","Allegheny","medium",1,43,"river","Allegheny"
"steel","mature","Allegheny","medium",7,44,"river","Allegheny"
"iron","mature","Allegheny","medium",0,45,"river","Allegheny"
"wood","modern","Allegheny","medium",0,46,"river","Allegheny"
"steel","modern","Allegheny","medium",2,47,"river","Allegheny"
"iron","modern","Allegheny","medium",0,48,"river","Allegheny"
"wood","crafts","Monongahela","medium",1,49,"river","Monongahela"
"steel","crafts","Monongahela","medium",0,50,"river","Monongahela"
"iron","crafts","Monongahela","medium",2,51,"river","Monongahela"
"wood","emerging","Monongahela","medium",0,52,"river","Monongahela"
"steel","emerging","Monongahela","medium",4,53,"river","Monongahela"
"iron","emerging","Monongahela","medium",1,54,"river","Monongahela"
"wood","mature","Monongahela","medium",0,55,"river","Monongahela"
"steel","mature","Monongahela","medium",10,56,"river","Monongahela"
"iron","mature","Monongahela","medium",0,57,"river","Monongahela"
"wood","modern","Monongahela","medium",0,58,"river","Monongahela"
"steel","modern","Monongahela","medium",3,59,"river","Monongahela"
"iron","modern","Monongahela","medium",0,60,"river","Monongahela"
"wood","crafts","Ohio","medium",0,61,"river","Ohio"
"steel","crafts","Ohio","medium",0,62,"river","Ohio"
"iron","crafts","Ohio","medium",0,63,"river","Ohio"
"wood","emerging","Ohio","medium",0,64,"river","Ohio"
"steel","emerging","Ohio","medium",0,65,"river","Ohio"
"iron","emerging","Ohio","medium",0,66,"river","Ohio"
"wood","mature","Ohio","medium",0,67,"river","Ohio"
"steel","mature","Ohio","medium",5,68,"river","Ohio"
"iron","mature","Ohio","medium",0,69,"river","Ohio"
"wood","modern","Ohio","medium",0,70,"river","Ohio"
"steel","modern","Ohio","medium",1,71,"river","Ohio"
"iron","modern","Ohio","medium",0,72,"river","Ohio"
"wood","crafts","Allegheny","short",1,73,"river","Allegheny"
"steel","crafts","Allegheny","short",0,74,"river","Allegheny"
"iron","crafts","Allegheny","short",0,75,"river","Allegheny"
"wood","emerging","Allegheny","short",0,76,"river","Allegheny"
"steel","emerging","Allegheny","short",0,77,"river","Allegheny"
"iron","emerging","Allegheny","short",0,78,"river","Allegheny"
"wood","mature","Allegheny","short",0,79,"river","Allegheny"
"steel","mature","Allegheny","short",5,80,"river","Allegheny"
"iron","mature","Allegheny","short",0,81,"river","Allegheny"
"wood","modern","Allegheny","short",0,82,"river","Allegheny"
"steel","modern","Allegheny","short",3,83,"river","Allegheny"
"iron","modern","Allegheny","short",0,84,"river","Allegheny"
"wood","crafts","Monongahela","short",0,85,"river","Monongahela"
"steel","crafts","Monongahela","short",0,86,"river","Monongahela"
"iron","crafts","Monongahela","short",0,87,"river","Monongahela"
"wood","emerging","Monongahela","short",0,88,"river","Monongahela"
"steel","emerging","Monongahela","short",0,89,"river","Monongahela"
"iron","emerging","Monongahela","short",0,90,"river","Monongahela"
"wood","mature","Monongahela","short",0,91,"river","Monongahela"
"steel","mature","Monongahela","short",0,92,"river","Monongahela"
"iron","mature","Monongahela","short",0,93,"river","Monongahela"
"wood","modern","Monongahela","short",0,94,"river","Monongahela"
"steel","modern","Monongahela","short",2,95,"river","Monongahela"
"iron","modern","Monongahela","short",0,96,"river","Monongahela"
"wood","crafts","Ohio","short",0,97,"river","Ohio"
"steel","crafts","Ohio","short",0,98,"river","Ohio"
"iron","crafts","Ohio","short",0,99,"river","Ohio"
"wood","emerging","Ohio","short",0,100,"river","Ohio"
"steel","emerging","Ohio","short",0,101,"river","Ohio"
"iron","emerging","Ohio","short",0,102,"river","Ohio"
"wood","mature","Ohio","short",0,103,"river","Ohio"
"steel","mature","Ohio","short",0,104,"river","Ohio"
"iron","mature","Ohio","short",0,105,"river","Ohio"
"wood","modern","Ohio","short",0,106,"river","Ohio"
"steel","modern","Ohio","short",1,107,"river","Ohio"
"iron","modern","Ohio","short",0,108,"river","Ohio"
"wood","crafts","Allegheny","long",0,1,"length","long"
"steel","crafts","Allegheny","long",0,2,"length","long"
"iron","crafts","Allegheny","long",0,3,"length","long"
"wood","emerging","Allegheny","long",0,4,"length","long"
"steel","emerging","Allegheny","long",0,5,"length","long"
"iron","emerging","Allegheny","long",0,6,"length","long"
"wood","mature","Allegheny","long",0,7,"length","long"
"steel","mature","Allegheny","long",7,8,"length","long"
"iron","mature","Allegheny","long",0,9,"length","long"
"wood","modern","Allegheny","long",0,10,"length","long"
"steel","modern","Allegheny","long",1,11,"length","long"
"iron","modern","Allegheny","long",0,12,"length","long"
"wood","crafts","Monongahela","long",0,13,"length","long"
"steel","crafts","Monongahela","long",0,14,"length","long"
"iron","crafts","Monongahela","long",0,15,"length","long"
"wood","emerging","Monongahela","long",0,16,"length","long"
"steel","emerging","Monongahela","long",0,17,"length","long"
"iron","emerging","Monongahela","long",0,18,"length","long"
"wood","mature","Monongahela","long",0,19,"length","long"
"steel","mature","Monongahela","long",7,20,"length","long"
"iron","mature","Monongahela","long",0,21,"length","long"
"wood","modern","Monongahela","long",0,22,"length","long"
"steel","modern","Monongahela","long",2,23,"length","long"
"iron","modern","Monongahela","long",0,24,"length","long"
"wood","crafts","Ohio","long",0,25,"length","long"
"steel","crafts","Ohio","long",0,26,"length","long"
"iron","crafts","Ohio","long",0,27,"length","long"
"wood","emerging","Ohio","long",0,28,"length","long"
"steel","emerging","Ohio","long",1,29,"length","long"
"iron","emerging","Ohio","long",0,30,"length","long"
"wood","mature","Ohio","long",0,31,"length","long"
"steel","mature","Ohio","long",1,32,"length","long"
"iron","mature","Ohio","long",0,33,"length","long"
"wood","modern","Ohio","long",0,34,"length","long"
"steel","modern","Ohio","long",2,35,"length","long"
"iron","modern","Ohio","long",0,36,"length","long"
"wood","crafts","Allegheny","medium",4,37,"length","medium"
"steel","crafts","Allegheny","medium",0,38,"length","medium"
"iron","crafts","Allegheny","medium",3,39,"length","medium"
"wood","emerging","Allegheny","medium",2,40,"length","medium"
"steel","emerging","Allegheny","medium",1,41,"length","medium"
"iron","emerging","Allegheny","medium",0,42,"length","medium"
"wood","mature","Allegheny","medium",1,43,"length","medium"
"steel","mature","Allegheny","medium",7,44,"length","medium"
"iron","mature","Allegheny","medium",0,45,"length","medium"
"wood","modern","Allegheny","medium",0,46,"length","medium"
"steel","modern","Allegheny","medium",2,47,"length","medium"
"iron","modern","Allegheny","medium",0,48,"length","medium"
"wood","crafts","Monongahela","medium",1,49,"length","medium"
"steel","crafts","Monongahela","medium",0,50,"length","medium"
"iron","crafts","Monongahela","medium",2,51,"length","medium"
"wood","emerging","Monongahela","medium",0,52,"length","medium"
"steel","emerging","Monongahela","medium",4,53,"length","medium"
"iron","emerging","Monongahela","medium",1,54,"length","medium"
"wood","mature","Monongahela","medium",0,55,"length","medium"
"steel","mature","Monongahela","medium",10,56,"length","medium"
"iron","mature","Monongahela","medium",0,57,"length","medium"
"wood","modern","Monongahela","medium",0,58,"length","medium"
"steel","modern","Monongahela","medium",3,59,"length","medium"
"iron","modern","Monongahela","medium",0,60,"length","medium"
"wood","crafts","Ohio","medium",0,61,"length","medium"
"steel","crafts","Ohio","medium",0,62,"length","medium"
"iron","crafts","Ohio","medium",0,63,"length","medium"
"wood","emerging","Ohio","medium",0,64,"length","medium"
"steel","emerging","Ohio","medium",0,65,"length","medium"
"iron","emerging","Ohio","medium",0,66,"length","medium"
"wood","mature","Ohio","medium",0,67,"length","medium"
"steel","mature","Ohio","medium",5,68,"length","medium"
"iron","mature","Ohio","medium",0,69,"length","medium"
"wood","modern","Ohio","medium",0,70,"length","medium"
"steel","modern","Ohio","medium",1,71,"length","medium"
"iron","modern","Ohio","medium",0,72,"length","medium"
"wood","crafts","Allegheny","short",1,73,"length","short"
"steel","crafts","Allegheny","short",0,74,"length","short"
"iron","crafts","Allegheny","short",0,75,"length","short"
"wood","emerging","Allegheny","short",0,76,"length","short"
"steel","emerging","Allegheny","short",0,77,"length","short"
"iron","emerging","Allegheny","short",0,78,"length","short"
"wood","mature","Allegheny","short",0,79,"length","short"
"steel","mature","Allegheny","short",5,80,"length","short"
"iron","mature","Allegheny","short",0,81,"length","short"
"wood","modern","Allegheny","short",0,82,"length","short"
"steel","modern","Allegheny","short",3,83,"length","short"
"iron","modern","Allegheny","short",0,84,"length","short"
"wood","crafts","Monongahela","short",0,85,"length","short"
"steel","crafts","Monongahela","short",0,86,"length","short"
"iron","crafts","Monongahela","short",0,87,"length","short"
"wood","emerging","Monongahela","short",0,88,"length","short"
"steel","emerging","Monongahela","short",0,89,"length","short"
"iron","emerging","Monongahela","short",0,90,"length","short"
"wood","mature","Monongahela","short",0,91,"length","short"
"steel","mature","Monongahela","short",0,92,"length","short"
"iron","mature","Monongahela","short",0,93,"length","short"
"wood","modern","Monongahela","short",0,94,"length","short"
"steel","modern","Monongahela","short",2,95,"length","short"
"iron","modern","Monongahela","short",0,96,"length","short"
"wood","crafts","Ohio","short",0,97,"length","short"
"steel","crafts","Ohio","short",0,98,"length","short"
"iron","crafts","Ohio","short",0,99,"length","short"
"wood","emerging","Ohio","short",0,100,"length","short"
"steel","emerging","Ohio","short",0,101,"length","short"
"iron","emerging","Ohio","short",0,102,"length","short"
"wood","mature","Ohio","short",0,103,"length","short"
"steel","mature","Ohio","short",0,104,"length","short"
"iron","mature","Ohio","short",0,105,"length","short"
"wood","modern","Ohio","short",0,106,"length","short"
"steel","modern","Ohio","short",1,107,"length","short"
"iron","modern","Ohio","short",0,108,"length","short"
